row_id,detector_positive,label,stratum,stratum_pop,task_id,config,model_id,seed
a83ded3a1ca995be,False,I0,parseable_label,14678,policy_interest_001_k0,sc,gpt-4o-mini,2000
48051710793e457b,False,I0,parseable_label,14678,policy_paymileage_001_k0,sc,gemini-3.1-pro-preview,1004
f890c01ac9100131,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,verifier,claude-haiku-4.5,1003
058597662321e49a,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,homogeneous-MAD,gpt-5.6-sol,4002
c521f052aa564776,False,I_perp,iperp_recall_risk,1767,data_tierank_001_k0,sc,gpt-4o-mini,2001
9d9a257e824774dd,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,interpretation-diverse,gpt-5.4,2
9b73991c98a4d773,False,I1,parseable_label,14678,code_quarter_001_k1_fiscal_year_start,heterogeneous-MAD,gemini-3.1-pro-preview,4002
bcd48417e32aaa13,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,sc,gemini-3.1-pro-preview,1002
500d20a648e8582c,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,sc,claude-opus-4.8,0
09c269c5a9dfb85b,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,sc,gpt-5.4,2003
3bf88ae536220bfa,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k1_rounding_standard,homogeneous-MAD,gpt-5.6-sol,4000
4be927f60f78db59,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,sc,gemini-3.1-pro-preview,2001
635d8a862109469a,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,homogeneous-MAD,gemini-3.1-pro-preview,2003
5585026213f6cf11,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,sc,gpt-5.6-sol,1004
63df2b736a289355,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,interpretation-diverse,gpt-5.6-sol,1004
bd6f3467f353e09a,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,sc,gpt-5.6-sol,4
77c7f1977d20a655,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,sc,gemini-3.1-pro-preview,2001
634adb2b40276dbc,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k1_rounding_standard,homogeneous-MAD,gemini-3.1-pro-preview,4001
39c4a6181d58ea54,False,I0,parseable_label,14678,policy_refund_001_k0,homogeneous-MAD,gemini-3.5-flash,2002
d8448b46acdafeaf,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,interpretation-diverse,gemini-3.1-pro-preview,2000
bd9ba900e4679d10,False,I0,parseable_label,14678,policy_overtime_001_k0,homogeneous-MAD,gpt-5.6-sol,4001
3451331088f917d9,False,I_perp,iperp_recall_risk,1767,data_report_001_k2_all,sc,gemini-3.1-pro-preview,2001
db79184e9d2dc414,True,I1,detector_positive,16,policy_refund_001_k1_fee_basis,homogeneous-MAD,claude-haiku-4.5,2000
ec274a57315388bf,False,I1,parseable_label,14678,code_getitems_001_k1_indexing_convention,homogeneous-MAD,gpt-5.4,4000
7b87d43084358e2d,False,I2,parseable_label,14678,code_invoice_001_k1_date_format_convention,sc,claude-opus-4.8,1004
e27bf257aff4b1d1,False,I5,parseable_label,14678,code_invoice_001_k2_fiscal_rounding,interpretation-diverse,claude-opus-4.8,1000
c1f6f5c64787967e,False,I2,parseable_label,14678,code_invoice_001_k1_date_format_convention,sc,claude-opus-4.8,1000
92570f1fb47df5a6,False,I0,parseable_label,14678,policy_paymileage_001_k0,single,gpt-4o-mini,0
a83fd7d1d72c1cec,False,I1,parseable_label,14678,code_quarterdate_001_k1_date_format_convention,interpretation-diverse,gemini-3.1-pro-preview,1001
255366161c97fe77,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,homogeneous-MAD,gpt-5.4,3004
4a3700cb6ded2127,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,interpretation-diverse,gpt-4o-mini,2003
c0e542ea1756a516,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,sc,gpt-5.6-sol,1003
de99f2943e85dd49,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,sc,gpt-5.4,1004
6a818f010390404c,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,interpretation-diverse,claude-haiku-4.5,3
556877284e387bcb,False,I_perp,iperp_recall_risk,1767,data_harmonic_001_k1_speed_averaging,interpretation-diverse,gpt-5.6-sol,0
a1e47d6a2fc2b22b,False,I_perp,iperp_recall_risk,1767,data_typical_001_k0,single,gpt-5.4,2000
f268ebe3e3407960,False,I0,parseable_label,14678,code_quarter_001_k0,sc,claude-haiku-4.5,1000
8c57f43c999bd2f8,False,I1,parseable_label,14678,code_roundcurr_001_k1_rounding_standard,sc,claude-haiku-4.5,2
f2a2863242c3bdb7,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k1_rounding_standard,sc,gpt-5.6-sol,1003
650c8ef579a135c1,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k0,sc,gpt-4o-mini,1
7242ddd28a827425,False,I0,parseable_label,14678,data_tierank_001_k0,homogeneous-MAD,gpt-5.6-sol,3000
5425a599136f3da4,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,interpretation-diverse,gemini-3.1-pro-preview,2003
047f70ba83c5f163,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,homogeneous-MAD,gpt-5.4,4000
efa3053dd16de3e0,False,I0,parseable_label,14678,data_avgprice_001_k1_price_weighting,sc,claude-opus-4.8,1002
69bcf0a9d7b78010,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,heterogeneous-MAD,gpt-5.4,4003
6fbfff86414edeab,False,I0,parseable_label,14678,code_quarterdate_001_k0,sc,gemini-3.1-pro-preview,1000
5f1a4d1dd8c95a3b,False,I_perp,iperp_recall_risk,1767,data_tierank_001_k1_tie_ranking,sc,gpt-4o-mini,0
c02687bfbb0b436e,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,homogeneous-MAD,gpt-5.6-sol,3000
211cce6fb0da0155,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,sc,gemini-3.1-pro-preview,1004
c4fea1f50f91bc87,False,I_perp,iperp_recall_risk,1767,code_getitems_001_k1_indexing_convention,verifier,gpt-5.4,3
3d85f7c76c8223aa,True,I0,detector_positive,16,data_typical_001_k1_central_tendency,sc,claude-haiku-4.5,2004
51653acdec6a76ef,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,interpretation-diverse,gemini-3.1-pro-preview,0
f527bb4ef02ff367,False,I_perp,iperp_recall_risk,1767,code_getitems_001_k1_indexing_convention,homogeneous-MAD,claude-opus-4.8,2000
aaca05eb77d21703,False,I0,parseable_label,14678,policy_refund_001_k0,homogeneous-MAD,gemini-3.1-pro-preview,2001
8e81a6e519025fa2,False,I0,parseable_label,14678,data_harmonic_001_k1_speed_averaging,homogeneous-MAD,gpt-5.6-sol,4002
ccb0d7b87ca19c04,False,I_perp,iperp_recall_risk,1767,data_report_001_k2_all,homogeneous-MAD,gpt-4o-mini,2004
46f1c579d52eb897,False,I_perp,iperp_recall_risk,1767,code_getitems_001_k1_indexing_convention,homogeneous-MAD,claude-opus-4.8,4003
acb7d0507c9bc97f,False,I_perp,iperp_recall_risk,1767,data_typical_001_k0,heterogeneous-MAD,gpt-5.4,2000
714adc66f0c7489c,False,I1,parseable_label,14678,code_quarterdate_001_k1_date_format_convention,verifier,claude-opus-4.8,1003
aaa2a01e40ced2b5,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k0,homogeneous-MAD,gpt-4o-mini,4002
5b2e7a7715e32790,False,I0,parseable_label,14678,code_getitems_001_k0,homogeneous-MAD,gemini-3.5-flash,2004
9c70d417c9450479,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k0,verifier,gpt-4o-mini,2003
01a2e243a67a14f4,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,interpretation-diverse,gemini-3.1-pro-preview,2001
1ff4c31ef6ee4940,False,I0,parseable_label,14678,data_report_001_k0,homogeneous-MAD,claude-opus-4.8,3000
efa9e9a9b0b45b14,False,I0,parseable_label,14678,data_rate_001_k1_rate_interval,homogeneous-MAD,gpt-5.4,2003
57884ece0431e9e6,False,I0,parseable_label,14678,code_quarter_001_k0,homogeneous-MAD,gpt-5.6-sol,3004
345d413ea1021ecb,False,I0,parseable_label,14678,policy_refund_001_k0,sc,gemini-3.1-pro-preview,2000
87df54b125ab4dae,True,I0,detector_positive,16,data_rate_001_k0,homogeneous-MAD,gemini-3.5-flash,2004
8ffe69b0c6625dd6,False,I_perp,iperp_recall_risk,1767,code_quarterdate_001_k2_all,sc,claude-haiku-4.5,2002
7ed4ded5e571f040,False,I_perp,iperp_recall_risk,1767,policy_refund_001_k1_fee_basis,sc,gpt-4o-mini,2001
49bf1f011fcf9daa,False,I0,parseable_label,14678,policy_tip_001_k0,sc,gemini-3.5-flash,2003
c51bb2fc6e1782e7,False,I_perp,iperp_recall_risk,1767,policy_interest_001_k1_compounding,interpretation-diverse,gemini-3.5-flash,2000
a7d2c04eb94f7e51,False,I_perp,iperp_recall_risk,1767,data_harmonic_001_k1_speed_averaging,single,gpt-4o-mini,1000
cef45356d313afcc,False,I0,parseable_label,14678,data_geomean_001_k1_growth_averaging,homogeneous-MAD,claude-haiku-4.5,2002
d6ebab2697b7108d,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,sc,gpt-4o-mini,2000
8bed508c6b8e740f,False,I1,parseable_label,14678,code_quarterdate_001_k1_date_format_convention,interpretation-diverse,gpt-4o-mini,2001
86d9b8db5caddebf,False,I_perp,iperp_recall_risk,1767,code_quarterdate_001_k2_all,interpretation-diverse,gemini-3.1-pro-preview,1000
b685fda0d091dc2b,False,I0,parseable_label,14678,data_activeusers_001_k0,homogeneous-MAD,gemini-3.5-flash,2001
5e27a9a61c462fed,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,interpretation-diverse,gpt-4o-mini,1001
581deceafec4c0b5,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,sc,gemini-3.1-pro-preview,1002
99e2d0db3b9fb65a,False,I0,parseable_label,14678,data_tierank_001_k1_tie_ranking,interpretation-diverse,gemini-3.5-flash,1000
971e204b607ed0d6,False,I0,parseable_label,14678,data_harmonic_001_k0,homogeneous-MAD,gpt-5.6-sol,3000
b6ba0ebd20a4b0da,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,interpretation-diverse,gemini-3.1-pro-preview,1002
2aaec513f97e971c,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,homogeneous-MAD,gpt-4o-mini,3001
323c82bd6ae59976,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,homogeneous-MAD,gemini-3.1-pro-preview,3003
996960168252a370,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,single,gpt-4o-mini,2000
2570ab504bcdc048,False,I2,parseable_label,14678,code_invoice_001_k1_date_format_convention,homogeneous-MAD,gpt-5.4,4001
bf1802bc6fd8aeef,False,I1,parseable_label,14678,data_report_001_k1_avg_rounding,homogeneous-MAD,claude-haiku-4.5,3001
7e8cc98320cce282,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_fiscal_year_start,verifier,gpt-4o-mini,1003
0c09d370bc9a6e46,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,sc,claude-haiku-4.5,1003
f791b5e107f33e60,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_fiscal_year_start,homogeneous-MAD,gpt-4o-mini,2002
eebbdddfb6baefb7,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,single,gpt-4o-mini,0
8ce10150b0137853,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,homogeneous-MAD,claude-haiku-4.5,2000
5e7fc27ae79f8713,False,I1,parseable_label,14678,data_activeusers_001_k1_active_user_threshold,sc,claude-haiku-4.5,2001
a60280f1039a1bb6,False,I0,parseable_label,14678,data_geomean_001_k1_growth_averaging,homogeneous-MAD,gemini-3.1-pro-preview,4002
53620161498909cd,False,I1,parseable_label,14678,policy_interest_001_k1_compounding,homogeneous-MAD,claude-haiku-4.5,4000
54cbadf7bac912e9,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,homogeneous-MAD,claude-haiku-4.5,2002
34629c827571c15a,False,I_perp,iperp_recall_risk,1767,data_cumulative_001_k1_cumulative_interpretation,single,gpt-4o-mini,2000
405245758549f85f,False,I0,parseable_label,14678,data_tierank_001_k0,homogeneous-MAD,gemini-3.1-pro-preview,3001
591babc5f2d518ef,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,sc,gpt-5.4,1
14008f1dffb6c2dc,False,I_perp,iperp_recall_risk,1767,data_report_001_k2_all,sc,gemini-3.1-pro-preview,2
e6ad5f2f56e8d4ac,True,I0,detector_positive,16,data_rate_001_k1_rate_interval,sc,claude-haiku-4.5,4
520e3d08c98943a4,False,I_perp,iperp_recall_risk,1767,data_typical_001_k1_central_tendency,sc,gpt-5.4,1001
37665eb9e803a075,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_date,homogeneous-MAD,gpt-4o-mini,2002
1930f6852e5f30b2,False,I0,parseable_label,14678,code_date_001_k0,verifier,claude-haiku-4.5,2003
9cedd28affcad842,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,homogeneous-MAD,gpt-5.6-sol,4003
aa98ebe3e1578b9b,False,I_perp,iperp_recall_risk,1767,policy_interest_001_k1_compounding,sc,gpt-4o-mini,1000
b35882be2141d734,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k1_rounding_standard,sc,gemini-3.5-flash,1000
77d553b85961c1c4,False,I_perp,iperp_recall_risk,1767,data_typical_001_k0,single,gpt-5.4,0
04d4850fe17ef432,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,heterogeneous-MAD,claude-sonnet-4.6,4001
9bdf36fa43acfcc0,False,I_perp,iperp_recall_risk,1767,data_tierank_001_k1_tie_ranking,verifier,gpt-4o-mini,1003
d8e69b62c68fa697,False,I0,parseable_label,14678,data_rate_001_k1_rate_interval,sc,gemini-3.1-pro-preview,1001
f187e7d89056466b,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,single,gpt-4o-mini,1000
2dc7b0e08cbe5fae,False,I1,parseable_label,14678,policy_interest_001_k1_compounding,homogeneous-MAD,gpt-5.6-sol,4004
42322af2f884c80a,False,I1,parseable_label,14678,policy_paymileage_001_k1_mileage_rounding,homogeneous-MAD,claude-haiku-4.5,2001
3089b3c4e76120bd,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_fiscal_year_start,interpretation-diverse,gpt-4o-mini,1000
a492ec1c39135b84,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,sc,gemini-3.1-pro-preview,2004
ad9651a468e18cbb,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k0,sc,gpt-4o-mini,1001
fe5ef1140088fc8d,False,I_perp,iperp_recall_risk,1767,data_report_001_k2_all,verifier,gpt-4o-mini,1003
3a50102979dbf9c2,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,interpretation-diverse,claude-haiku-4.5,1001
1cd555b5c7dee4bd,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,homogeneous-MAD,gpt-5.6-sol,3003
cecb59e07f8b96af,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,interpretation-diverse,claude-opus-4.8,1002
56fe88c121a37b32,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,sc,gemini-3.1-pro-preview,1004
86fe1b68af297e63,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,heterogeneous-MAD,gemini-3.1-pro-preview,3002
5b82571c1215e102,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,homogeneous-MAD,gemini-3.1-pro-preview,3002
abc2ce0a2046f6e5,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,homogeneous-MAD,gpt-5.4,3002
6a11c59db9b93f55,False,I0,parseable_label,14678,data_rate_001_k1_rate_interval,homogeneous-MAD,gemini-3.1-pro-preview,3003
20503b4a5b33cead,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,homogeneous-MAD,gemini-3.1-pro-preview,2000
b07f66a18b080e82,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,single,gpt-4o-mini,2000
4c68ed83fd822d22,False,I1,parseable_label,14678,code_invoice_001_k1_rounding_standard,homogeneous-MAD,gpt-5.4,4000
558c1013a362cab9,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_date_format_convention,verifier,gpt-4o-mini,1003
768cb23a9d7c1d8f,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,homogeneous-MAD,claude-haiku-4.5,2003
c8c1b65418ac2158,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,interpretation-diverse,claude-haiku-4.5,2001
911051f1a0727f55,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,homogeneous-MAD,gpt-5.4,4001
c31d01f0ca0d5509,True,I0,detector_positive,16,data_cumulative_001_k0,homogeneous-MAD,claude-haiku-4.5,2002
0fadef52f8323dea,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_date_format_convention,homogeneous-MAD,gpt-4o-mini,4002
f9be9dffbc54a0d4,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,sc,gemini-3.1-pro-preview,1
03d5933ebf7f0f51,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,homogeneous-MAD,gpt-5.6-sol,3004
6009ca8287b66f34,False,I0,parseable_label,14678,data_cumulative_001_k1_cumulative_interpretation,interpretation-diverse,claude-opus-4.8,2000
c563fe139e5eb23d,False,I1,parseable_label,14678,data_activeusers_001_k1_active_user_threshold,interpretation-diverse,gemini-3.1-pro-preview,1
bf5bdeb2a9a01f80,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k1_rounding_standard,heterogeneous-MAD,claude-sonnet-4.6,2001
4e0316e270cce23d,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,single,claude-opus-4.8,0
740b4697c7f7ccdb,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,single,gpt-5.6-sol,2000
e69fc110ca9c5781,False,I0,parseable_label,14678,code_getitems_001_k0,sc,gemini-3.5-flash,1003
c231b0f1eb53ca57,False,I_perp,iperp_recall_risk,1767,data_rate_001_k1_rate_interval,sc,claude-haiku-4.5,2002
ac6925974a87c660,False,I0,parseable_label,14678,data_typical_001_k0,interpretation-diverse,gemini-3.5-flash,1000
15faa4d5c879cf23,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,interpretation-diverse,gemini-3.5-flash,1001
4af1059f248a7b72,False,I2,parseable_label,14678,code_invoice_001_k1_date_format_convention,interpretation-diverse,claude-opus-4.8,2000
78c9e91f7ea10a4f,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_date_format_convention,sc,gpt-4o-mini,2000
1c5876c42e24ed9f,False,I_perp,iperp_recall_risk,1767,data_report_001_k0,single,gpt-4o-mini,2000
08ed303b5fc55448,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,homogeneous-MAD,gemini-3.1-pro-preview,3003
57c1705f51fcc458,False,I0,parseable_label,14678,policy_interest_001_k0,heterogeneous-MAD,gpt-5.4,3000
e2d0827d168d664a,False,I5,parseable_label,14678,code_invoice_001_k2_fiscal_rounding,single,gpt-5.6-sol,1000
50f914c0badd0d5f,False,I0,parseable_label,14678,data_tierank_001_k0,interpretation-diverse,gpt-5.6-sol,1000
f51f3cce67db41a0,False,I0,parseable_label,14678,policy_interest_001_k0,homogeneous-MAD,claude-haiku-4.5,2004
ac3974baa0efcf5e,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,homogeneous-MAD,gpt-5.4,4001
aec20922efc8d073,False,I_perp,iperp_recall_risk,1767,data_report_001_k2_all,interpretation-diverse,gpt-4o-mini,1002
5d1d003e8f9f4042,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,sc,gpt-4o-mini,2003
f28368e0ac51f924,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,homogeneous-MAD,gpt-5.6-sol,3004
05e631e98bbf36b4,True,I0,detector_positive,16,code_invoice_001_k0,homogeneous-MAD,gemini-3.1-pro-preview,3001
9e626b9ea97a7a70,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_rounding_standard,verifier,claude-opus-4.8,3
d7fa75e5bcea033e,False,I0,parseable_label,14678,code_date_001_k0,sc,gpt-5.4,1
adb99cfe0ebebd4b,False,I1,parseable_label,14678,policy_overtime_001_k1_overtime_threshold,homogeneous-MAD,claude-opus-4.8,4004
794822a494bc8933,False,I1,parseable_label,14678,code_date_001_k1_date_format_convention,sc,claude-haiku-4.5,2003
2ee7938cb9d9dabf,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,interpretation-diverse,gemini-3.1-pro-preview,1006
89b948e1efc35f6d,False,I_perp,iperp_recall_risk,1767,data_typical_001_k1_central_tendency,sc,gpt-5.4,2004
5b8c78eb93e68ef1,False,I0,parseable_label,14678,code_quarter_001_k0,heterogeneous-MAD,claude-sonnet-4.6,3001
25a88830fc6e5e47,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k1_rounding_standard,sc,gemini-3.5-flash,2004
a5c9f579a57942c3,True,I0,detector_positive,16,data_cumulative_001_k0,homogeneous-MAD,claude-haiku-4.5,2004
f3a76fd431b47fdc,False,I_perp,iperp_recall_risk,1767,data_report_001_k2_all,sc,gpt-5.4,1003
09a06f64d335b943,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,sc,gpt-4o-mini,0
884fc1af91bc0bad,False,I1,parseable_label,14678,policy_paymileage_001_k2_all,interpretation-diverse,gpt-5.4,2000
6b898739cfd252d8,False,I_perp,iperp_recall_risk,1767,code_quarterdate_001_k1_date_format_convention,sc,claude-haiku-4.5,2001
9ce3164fc0640853,False,I6,parseable_label,14678,code_invoice_001_k2_fiscal_date,sc,gemini-3.5-flash,1003
f85b79d7109c2d08,False,I0,parseable_label,14678,code_quarterdate_001_k0,sc,gpt-5.6-sol,1004
ae17aac17475c160,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,homogeneous-MAD,gpt-5.6-sol,2001
cc1ec4e91d40e7d3,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,sc,gemini-3.1-pro-preview,1000
e268e19bc990b2c3,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,interpretation-diverse,claude-haiku-4.5,1000
9baa4cf95c2a46f8,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,interpretation-diverse,gemini-3.5-flash,1004
d2ae2d060fd4909c,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,verifier,gemini-3.1-pro-preview,3
669878373a6e81c7,False,I1,parseable_label,14678,policy_paymileage_001_k1_mileage_rounding,heterogeneous-MAD,gemini-3.1-pro-preview,2002
37c54c7554dc6430,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k1_date_format_convention,sc,gpt-4o-mini,2001
d7659b6e5c76ac2f,False,I_perp,iperp_recall_risk,1767,data_report_001_k2_all,sc,gpt-4o-mini,2000
edf59f1ba629cc06,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_rounding,sc,gemini-3.1-pro-preview,1
3406a46012cfcf3f,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,homogeneous-MAD,gpt-4o-mini,2000
ab8d56e2154cc92a,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,sc,gpt-4o-mini,4
3048d51b1d431bb3,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k1_rounding_standard,homogeneous-MAD,claude-haiku-4.5,2002
eb5ef51dea32f34a,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,sc,gpt-4o-mini,3
231b7479300c510d,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k3_all,homogeneous-MAD,gpt-5.4,2000
ca0a6ccd8b76f080,False,I_perp,iperp_recall_risk,1767,data_harmonic_001_k1_speed_averaging,single,gpt-5.6-sol,1000
ea847f76e71bc885,False,I_perp,iperp_recall_risk,1767,data_report_001_k1_active_user_threshold,single,gpt-5.4,1000
21e7aca476ab5090,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_fiscal_date,sc,gpt-4o-mini,1001
63215bac4d9ba53b,False,I_perp,iperp_recall_risk,1767,code_invoice_001_k2_date_rounding,homogeneous-MAD,gpt-5.6-sol,2000
5b7e84cbadb7af80,False,I_perp,iperp_recall_risk,1767,code_roundcurr_001_k0,homogeneous-MAD,gpt-4o-mini,2004
993cce41cd220078,False,I1,parseable_label,14678,policy_tip_001_k1_tip_base,interpretation-diverse,claude-haiku-4.5,2001
376f8007d6d817b4,False,I0,parseable_label,14678,code_getitems_001_k0,sc,gemini-3.5-flash,1004
