row_id,domain,task_prompt,model_output,human_label
39bf071de6702b58,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.","```python
def format_invoice_line(year, month, day, amount):
    quarter = (month - 1) // 3 + 1
    date_str = f""{year:04d}-{month:02d}-{day:02d}""
    amount_str = str(round(amount))
    return f""Q{quarter} {date_str} {amount_str}""

# Confidence: 84%
```",
5897a9954b6221b2,data_analysis,"Write a function `avg_new_per_day(entries)` that returns the average number of new registrations per day as a string rounded to 2 decimal places. Each entry is a [day, cumulative_total] pair, where cumulative_total is the running total of all registrations since day 0: [[0, 0], [1, 3], [3, 9], [6, 15]].","```python
def avg_new_per_day(entries):
    if len(entries) < 2:
        return ""0.00""

    entries = sorted(entries, key=lambda entry: entry[0])
    first_day, first_total = entries[0]
    last_day, last_total = entries[-1]
    elapsed_days = last_day - first_day

    if elapsed_days <= 0:
        return ""0.00""

    return f""{(last_total - first_total) / elapsed_days:.2f}""


# Confidence: 98%
```",
88f9dc6d1c9f461c,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.","```python
def format_invoice_line(year, month, day, amount):
    # Determine fiscal quarter
    quarter = (month - 1) // 3 + 1
    fiscal_quarter = f'Q{quarter}'
    
    # Format the date as 'YYYY-MM-DD'
    formatted_date = f'{year:04}-{month:02}-{day:02}'
    
    # Round the amount to the nearest whole number
    rounded_amount = round(amount)
    
    # Return the formatted string
    return f'{fiscal_quarter} {formatted_date} {rounded_amount}'
```",
e92162ceebcd6ae0,policy_qa,"A restaurant bill totals $54.00, consisting of $50.00 for food and $4.00 in tax. Compute a 15% tip, rounded to the nearest cent.","Tip is typically calculated on the pre-tax food amount: 15% of $50.00 = $7.50.

FINAL ANSWER: $7.50",
546980b9172465c3,data_analysis,"Write a function `format_report(sessions)` that takes a list of per-user weekly session counts and returns a one-line summary string of the form '{N} active | avg {M}', where N is the number of active users and M is the average sessions per user (total sessions divided by the number of users) as a whole number.

Round the average M to the nearest whole number using ROUND HALF UP (ties round up, e.g. 2.5 -> 3), per our reporting standard.","```python
def format_report(sessions):
    active_users = len(sessions)
    total_sessions = sum(sessions)
    
    if active_users == 0:
        avg_sessions = 0
    else:
        avg_sessions = round(total_sessions / active_users + 0.5)  # ROUND HALF UP

    return f""{active_users} active | avg {avg_sessions}""
```",
a83ded3a1ca995be,policy_qa,"A loan of $10,000.00 has an annual interest rate of 6%, based on a 365-day year, and is outstanding for 90 days. Compute the interest owed, rounded to the nearest cent.

Per the loan contract, interest COMPOUNDS MONTHLY at 6%/12 (0.5%) per month over the three months.","To calculate the interest owed on a loan of $10,000 at an annual interest rate of 6% compounded monthly for 90 days, we need to follow these steps:

1. **Convert the annual interest rate to a monthly rate**: 
   \[
   \text{Monthly interest rate} = \frac{6\%}{12} = 0.5\% = 0.005
   \]

2. **Determine the number of months for 90 days**: 
   Since there are approximately 30 days in a month, 90 days is equivalent to 3 months.

3. **Use the compound interest formula**:
   The formula for compound interest is:
   \[
   A = P(1 + r)^n
   \]
   Where:
   - \( A \) = the amount of money accumulated after n months, including interest.
   - \( P \) = principal amount (the initial amount of money).
   - \( r \) = monthly interest rate (as a decimal).
   - \( n \) = number of months the money is invested or borrowed for.

   Plugging in the values:
   \[
   A = 10000(1 + 0.005)^3
   \]
   \[
   A = 10000(1.005)^3
   \]
   \[
   A \approx 10000(1.015075)
   \]
   \[
   A \approx 10150.75
   \]

4. **Calculate the interest owed**:
   \[
   \text{Interest} = A - P = 10150.75 - 10000 = 150.75
   \]

The interest owed after 90 days is approximately $150.75.

Confidence level: 100%.

FINAL ANSWER: $150.75",
48051710793e457b,policy_qa,"An employee worked 45 hours this week at a base pay rate of $20.00 per hour (overtime hours are paid at 1.5 times the base rate), and also drove 104 miles for work that are reimbursed at $0.60 per mile. Compute the employee's total pay for the week (gross wages plus mileage reimbursement), rounded to the nearest cent.

Under this employer's union contract, overtime begins after 35 hours per week.

Per the employer's travel policy, the mileage reimbursement is rounded UP to the next whole dollar.","To calculate the employee's total pay for the week, we need to compute both the gross wages and the mileage reimbursement.

**1. Gross Wages:**
* According to the union contract, overtime begins after 35 hours. 
* Regular hours worked: 35 hours
* Overtime hours worked: 45 total hours - 35 regular hours = 10 hours
* Regular pay: 35 hours × $20.00/hour = $700.00
* Overtime pay rate: $20.00 × 1.5 = $30.00/hour
* Overtime pay: 10 hours × $30.00/hour = $300.00
* Total gross wages: $700.00 + $300.00 = $1000.00

**2. Mileage Reimbursement:**
* Miles driven: 104 miles
* Reimbursement rate: $0.60/mile
* Initial calculation: 104 miles × $0.60/mile = $62.40
* According to the travel policy, we round this UP to the next whole dollar, which makes it $63.00.

**3. Total Pay:**
* Total Pay = Gross wages + Mileage reimbursement
* Total Pay = $1000.00 + $63.00 = $1063.00

Confidence level: 100%

FINAL ANSWER: $1063.00",
f890c01ac9100131,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.","Let me break down the requirements:

1. Determine fiscal quarter based on month (Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4)
2. Format date as MM/DD/YYYY with zero-padding
3. Round the monetary amount
4. Return space-separated string of: quarter label, date, amount

The key insight is mapping calendar months to fiscal quarters:
- April (4) - June (6) = Q1
- July (7) - September (9) = Q2
- October (10) - December (12) = Q3
- January (1) - March (3) = Q4

```python
def format_invoice_line(year, month, day, amount):
    # Determine fiscal quarter
    if 4 <= month <= 6:
        quarter = ""Q1""
    elif 7 <= month <= 9:
        quarter = ""Q2""
    elif 10 <= month <= 12:
        quarter = ""Q3""
    else:  # 1 <= month <= 3
        quarter = ""Q4""
    
    # Format date as MM/DD/YYYY
    formatted_date = f""{month:02d}/{day:02d}/{year:04d}""
    
    # Round monetary amount
    rounded_amount = str(round(amount))
    
    # Return space-separated string
    return f""{quarter} {formatted_date} {rounded_amount}""
```

Confidence: 95%",
058597662321e49a,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.","```python
from datetime import date
from decimal import Decimal, ROUND_HALF_UP


def format_invoice_line(year, month, day, amount):
    """"""Return the fiscal quarter, US-formatted date, and amount rounded to cents.""""""
    invoice_date = date(year, month, day)
    quarter = ((invoice_date.month - 4) % 12) // 3 + 1
    formatted_date = (
        f""{invoice_date.month:02d}/{invoice_date.day:02d}/{invoice_date.year:04d}""
    )
    rounded_amount = Decimal(str(amount)).quantize(
        Decimal(""0.01""), rounding=ROUND_HALF_UP
    )
    return f""Q{quarter} {formatted_date} {rounded_amount:.2f}""


# Confidence: 98%
```",
c521f052aa564776,data_analysis,"Write a function `rank_items(scores)` that returns a list of float ranks for each score, where rank 1 = highest score. The rank of each item is its AVERAGE ordinal position among equally-scored items (tied items share the same float rank value). Higher scores receive lower rank numbers: [10, 10, 8].

For tied items, assign each the MIDPOINT of the ordinal positions they collectively occupy: e.g. two items tied for positions 1 and 2 each receive rank 1.5; three items tied for positions 1-3 each receive rank 2.0. Return ranks as a list of floats.","```python
def rank_items(scores):
    sorted_scores = sorted(enumerate(scores), key=lambda x: -x[1])
    ranks = [0] * len(scores)
    current_rank = 1
    i = 0
    
    while i < len(sorted_scores):
        j = i
        while j < len(sorted_scores) and sorted_scores[j][1] == sorted_scores[i][1]:
            j += 1
        # Calculate the average rank for the tied scores
        average_rank = (current_rank + (current_rank + (j - i - 1))) / 2
        for k in range(i, j):
            ranks[sorted_scores[k][0]] = average_rank
        i = j
        current_rank += (j - i + 1)
    
    return ranks
```",
9d9a257e824774dd,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.","```python
def format_invoice_line(year, month, day, amount):
    quarter = (month - 1) // 3 + 1
    date_str = f""{month:02d}/{day:02d}/{year:04d}""
    amount_str = f""{round(amount):.2f}""
    return f""Q{quarter} {date_str} {amount_str}""

# Interpretation: [option] (invoice_cal_us_gaap)
# Confidence: 92%
```",
9b73991c98a4d773,code_spec,Write a function `quarter(month)` that returns the quarter number for a given calendar month number (1-12).,"To determine the quarter of a given month (1 to 12), we can use integer division. Subtracting 1 from the month gives a 0-indexed month (0-11). Floor dividing by 3 gives a 0-indexed quarter (0-3). Finally, adding 1 yields the correct 1-indexed quarter (1-4). Another concise approach is `(month + 2) // 3`. Both are valid and perfectly equivalent. 

Confidence: 100%

```python
def quarter(month):
    return (month + 2) // 3
```",
bcd48417e32aaa13,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.","To solve this problem, we need to handle three main parts:
1. **Fiscal Quarter Calculation**: We map the month to the fiscal quarter where April starts Q1. A neat mathematical trick for this mapping is to use `(month - 4) // 3 % 4 + 1`. This safely shifts the months to correctly wrap around and calculate the quarter. 
2. **Date Formatting**: We will use zero-padding format specifiers `02d` for the month and day, and `04d` for the year to construct the `MM/DD/YYYY` string.
3. **Amount Rounding**: We apply Python's built-in `round()` function to the amount and convert it to a string.

Confidence Level: 100%

```python
def format_invoice_line(year, month, day, amount):
    # Calculate fiscal quarter (April starts Q1)
    quarter_num = (int(month) - 4) // 3 % 4 + 1
    quarter_label = f""Q{quarter_num}""
    
    # Format the date as MM/DD/YYYY with zero-padded month and day
    date_str = f""{int(month):02d}/{int(day):02d}/{int(year):04d}""
    
    # Round the monetary amount to the nearest integer
    amount_str = str(round(float(amount)))
    
    # Return the space-separated string
    return f""{quarter_label} {date_str} {amount_str}""
```",
500d20a648e8582c,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.","```python
def format_invoice_line(year, month, day, amount):
    quarter = {1:4,2:4,3:4,4:1,5:1,6:1,7:2,8:2,9:2,10:3,11:3,12:3}[month]
    date_str = f""{month:02d}/{day:02d}/{year:04d}""
    amount_str = str(round(amount))
    return f""Q{quarter} {date_str} {amount_str}""
```

Confidence: 65%",
09c269c5a9dfb85b,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.","```python
def format_invoice_line(year, month, day, amount):
    quarter = (month - 1) // 3 + 1
    date_str = f""{year:04d}-{month:02d}-{day:02d}""
    amount_str = f""{round(amount):.2f}""
    return f""Q{quarter} {date_str} {amount_str}""

# Confidence: 99%
```",
3bf88ae536220bfa,code_spec,Write a function `round_currency(amount)` that rounds a monetary amount to exactly 2 decimal places and returns it as a string.,"```python
from decimal import Decimal, InvalidOperation, ROUND_HALF_UP, localcontext


def round_currency(amount) -> str:
    """"""Round a finite monetary amount to exactly two decimal places.""""""
    try:
        value = amount if isinstance(amount, Decimal) else Decimal(str(amount))
    except (InvalidOperation, TypeError, ValueError) as exc:
        raise ValueError(""amount must be a valid monetary value"") from exc

    if not value.is_finite():
        raise ValueError(""amount must be finite"")

    with localcontext() as context:
        context.prec = max(
            28,
            len(value.as_tuple().digits) + 2,
            value.adjusted() + 3,
        )
        rounded = value.quantize(Decimal(""0.01""), rounding=ROUND_HALF_UP)

    return format(rounded, "".2f"")


# Confidence: 98%
```",
4be927f60f78db59,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.","To solve this problem, we need to construct a string with three specific parts separated by spaces:
1. **Fiscal quarter label:** We can determine the fiscal quarter by taking the month, subtracting 1, performing floor division by 3, and adding 1. This maps months 1-3 to Q1, 4-6 to Q2, 7-9 to Q3, and 10-12 to Q4.
2. **Formatted date string:** Using Python's f-string formatting, we can enforce a 2-digit zero-padded month (`:02d`), a 2-digit zero-padded day (`:02d`), and a 4-digit year (`:04d`).
3. **Rounded monetary amount string:** We can use Python's built-in `round()` function to round the amount to the nearest whole number and convert it to a string. 

Confidence Level: 95%

```python
def format_invoice_line(year, month, day, amount):
    quarter = (month - 1) // 3 + 1
    date_str = f""{month:02d}/{day:02d}/{year:04d}""
    amount_str = str(round(amount))
    
    return f""Q{quarter} {date_str} {amount_str}""
```",
635d8a862109469a,data_analysis,"Write a function `format_report(sessions)` that takes a list of per-user weekly session counts and returns a one-line summary string of the form '{N} active | avg {M}', where N is the number of active users and M is the average sessions per user (total sessions divided by the number of users) as a whole number.

Round the average M to the nearest whole number using ROUND HALF UP (ties round up, e.g. 2.5 -> 3), per our reporting standard.","The integer arithmetic method `(total * 2 + n) // (n * 2)` is an exact and efficient way to perform ROUND HALF UP for positive numbers without using external modules or floating-point arithmetic. It precisely mimics `floor(total / n + 0.5)` for any non-negative integer division. We also just need to handle the edge case where `sessions` is empty to prevent a division by zero.

Confidence: 100%

```python
def format_report(sessions):
    n = len(sessions)
    if n == 0:
        return ""0 active | avg 0""
    
    total = sum(sessions)
    # Integer arithmetic for exact ROUND HALF UP 
    # Equivalent to floor(total / n + 0.5)
    m = (total * 2 + n) // (n * 2)
    
    return f""{n} active | avg {m}""
```",
5585026213f6cf11,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.

Use US date format: MM/DD/YYYY with zero-padded month and day (e.g., May 15, 2024 -> '05/15/2024'). 4-digit year.","```python
from datetime import date
from decimal import Decimal, ROUND_HALF_UP


def format_invoice_line(year, month, day, amount):
    invoice_date = date(year, month, day)
    quarter = ((month - 4) % 12) // 3 + 1
    rounded_amount = Decimal(str(amount)).quantize(
        Decimal(""0.01""), rounding=ROUND_HALF_UP
    )
    return f""Q{quarter} {invoice_date:%m/%d/%Y} {rounded_amount:.2f}""


# Confidence: 98%
```",
63df2b736a289355,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.","```python
from datetime import date
from decimal import Decimal, InvalidOperation, ROUND_HALF_UP


def format_invoice_line(year, month, day, amount):
    """"""
    Format an invoice line using calendar fiscal quarters, US dates,
    and monetary rounding to two decimal places.

    Confidence: 85%
    """"""
    invoice_date = date(year, month, day)
    quarter = (invoice_date.month - 1) // 3 + 1

    try:
        monetary_amount = Decimal(str(amount))
    except (InvalidOperation, ValueError) as exc:
        raise ValueError(""amount must be a valid monetary value"") from exc

    if not monetary_amount.is_finite():
        raise ValueError(""amount must be finite"")

    rounded_amount = monetary_amount.quantize(
        Decimal(""0.01""), rounding=ROUND_HALF_UP
    )
    if rounded_amount == 0:
        rounded_amount = abs(rounded_amount)

    return (
        f""Q{quarter} ""
        f""{invoice_date:%m/%d/%Y} ""
        f""{rounded_amount:.2f}""
    )
```",
bd6f3467f353e09a,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.","```python
from datetime import date
from decimal import Decimal, ROUND_HALF_UP


def format_invoice_line(year, month, day, amount):
    """"""Return 'Qn YYYY-MM-DD amount', with the amount rounded to two decimals.""""""
    invoice_date = date(year, month, day)
    quarter = ((month - 4) % 12) // 3 + 1
    rounded_amount = Decimal(str(amount)).quantize(
        Decimal(""0.01""), rounding=ROUND_HALF_UP
    )
    return f""Q{quarter} {invoice_date.isoformat()} {rounded_amount:.2f}""


# Confidence: 90%
```",
77c7f1977d20a655,code_spec,"Write a function `format_invoice_line(year, month, day, amount)` that returns a space-separated string of three parts: the fiscal quarter label ('Q{n}'), the formatted date string, and the rounded monetary amount string.

Our fiscal year starts in April: Apr-Jun=Q1, Jul-Sep=Q2, Oct-Dec=Q3, Jan-Mar=Q4.","To determine the fiscal quarter when the fiscal year starts in April:
- January, February, March (Months 1-3) fall into **Q4**
- April, May, June (Months 4-6) fall into **Q1**
- July, August, September (Months 7-9) fall into **Q2**
- October, November, December (Months 10-12) fall into **Q3**

We can map the month directly to the fiscal quarter. The date can be formatted using ISO standard format (`YYYY-MM-DD`), and the monetary amount can simply be rounded to the nearest whole integer (as requested) and converted to a string. 

Confidence Level: 95%

```python
def format_invoice_line(year, month, day, amount):
    # Mapping months 1-12 to their corresponding fiscal quarter
    quarter = [4, 4, 4, 1, 1, 1, 2, 2, 2, 3, 3, 3][month - 1]
    
    # Formatting date as YYYY-MM-DD
    date_str = f""{year:04d}-{month:02d}-{day:02d}""
    
    # Rounding amount and converting to string
    amount_str = str(round(amount))
    
    return f""Q{quarter} {date_str} {amount_str}""
```",
634adb2b40276dbc,code_spec,Write a function `round_currency(amount)` that rounds a monetary amount to exactly 2 decimal places and returns it as a string.,"Confidence: 100%

When dealing with monetary values, relying on standard Python floating-point operations can lead to precision errors and incorrect rounding (for example, standard Python floats round `2.675` to `""2.67""` instead of the expected `""2.68""`). Using Python's built-in `decimal` module accurately represents the number and allows us to round using the `ROUND_HALF_UP` strategy, which is standard for currency. 

Converting the input to a string first prevents any floating-point inaccuracies from being passed into the `Decimal` constructor. Formatting with `:.2f` guarantees exactly two decimal places in the returned string.

```python
from decimal import Decimal, ROUND_HALF_UP

def round_currency(amount):
    dec_amount = Decimal(str(amount))
    rounded = dec_amount.quantize(Decimal('0.01'), rounding=ROUND_HALF_UP)
    return f""{rounded:.2f}""
```",
39c4a6181d58ea54,policy_qa,"A customer returns merchandise originally priced at $360.00. The return includes a $19.90 shipping credit, and a 10% restocking fee applies. Compute the net refund, rounded to the nearest cent.

Per the return contract, the 10% restocking fee is assessed on the FULL credited amount (merchandise price plus the shipping credit).","To calculate the net refund:

1. **Calculate the full credited amount:**
   $$\text{Full Credited Amount} = \text{Merchandise Price} + \text{Shipping Credit} = \$360.00 + \$19.90 = \$379.90$$

2. **Calculate the 10% restocking fee (assessed on the full credited amount):**
   $$\text{Restocking Fee} = 10\% \text{ of } \$379.90 = \$37.99$$

3. **Calculate the net refund:**
   $$\text{Net Refund} = \text{Full Credited Amount} - \text{Restocking Fee} = \$379.90 - \$37.99 = \$341.91$$

FINAL ANSWER: $341.91",
